visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Task Duration(us): 287.500
Profile source instructions: 25948546
Selected source instructions: 25948546
Profile%  Selected%  Est(us)    Instructions Executed  Records  Lines       Function  Hot Lines
  11.13      11.13     31.987  2887022                17      1761-1825   turboquant_pack_kv_for_cache4bit     1817:2174074, 1790:673388, 1818:17220, 1808:12760, 1791:3200, 1788:2800, 1789:2060, 1774:860
   8.38       8.38     24.083  2173674                3       411-423     Process                              420:2173274, 416:200, 417:200
   8.37       8.37     24.069  2172388                29      1618-1708   ProcessCachePairBySequenceContiguousSegments 1686:2165210, 1634:2240, 1700:1040, 1637:600, 1661:440, 1642:280, 1699:280, 1670:210
   8.34       8.34     23.981  2164412                18      1546-1616   ProcessSequenceBlockRange            1583:2162606, 1554:588, 1580:378, 1593:294, 1590:168, 1577:126, 1589:126, 1553:84
   8.33       8.33     23.947  2161394                18      1359-1404   PackCachePairPhysicalFullGroupRun    1385:1104488, 1390:1050710, 1360:3076, 1362:640, 1378:480, 1363:400, 1377:400, 1388:400
   8.31       8.31     23.879  2155198                4       1334-1357   PackCachePhysicalFullGroupRunTask    1347:1776550, 1348:366408, 1340:11440, 1343:800
   6.89       6.89     19.805  1787510                18      830-867     CopyInPhysicalGroupRowsTask          865:994112, 863:703776, 864:78662, 838:4080, 859:3840, 841:960, 843:960, 839:640
   3.79       3.79     10.886  982512                 47      658-748     EncodeBatch                          675:450560, 673:98304, 667:53840, 669:52832, 688:49152, 729:41920, 676:40960, 732:32768
   2.69       2.69      7.743  698816                 26      429-462     NormalizeBatch                       443:188416, 440:73728, 450:65536, 454:65536, 446:49152, 448:49152, 437:45440, 452:32768
   2.19       2.19      6.294  568084                 18      167-223     Run                                  185:223720, 175:191768, 217:78820, 173:63056, 208:3640, 184:3120, 177:1560, 180:1040
   1.46       1.46      4.197  378760                 11      unknown     <unknown>                            561:114104, 550:89688, 692:81016, 602:40960, 691:32768, 675:14248, 1284:2528, 1294:2368
   1.41       1.41      4.041  364768                 12      611-653     EncodeQuantCodesByReduceSum          630:122880, 628:57344, 638:57344, 621:49152, 615:24576, 616:8192, 620:8192, 627:8192
   1.34       1.34      3.865  348840                 19      1171-1211   CopyOutPhysicalFullGroupRunKnown     1194:206848, 1192:43008, 1198:43008, 1178:8192, 1181:6264, 1186:6144, 1196:6144, 1171:4320
   1.01       1.01      2.904  262144                 1       118-144     Cast                                 143:262144
   0.96       0.96      2.771  250128                 30      24-530      MATMUL_POLICY_DEFAULT_OF             420:202956, 432:10560, 227:6236, 108:5116, 76:4760, 221:4160, 222:3840, 431:3360
