visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
97    800                    1       35
102   400                    1       156
103   480                    1       52
104   160                    1       52
108   0                      1       96
109   0                      1       36
110   0                      1       32
114   24576                  1       40
115   16384                  1       20
116   8192                   1       20
120   24736                  1       82
121   16464                  1       59
122   8232                   1       40
126   6144                   1       156
127   4096                   1       104
128   2048                   1       52
132   6144                   1       156
133   4096                   1       56
134   2048                   1       52
138   160                    1       255
139   80                     1       88
140   40                     1       85
144   120                    1       255
145   80                     1       88
146   40                     1       85
150   120                    1       255
151   80                     1       135
152   40                     1       85
251   0                      1       96
252   0                      1       128
254   0                      1       73
255   0                      1       96
256   0                      1       160
257   0                      1       96
265   12288                  1       68
266   12288                  1       80
268   18432                  1       46
272   280                    1       162
273   240                    1       262
274   240                    1       212
284   0                      1       32
285   0                      1       96
286   0                      1       100
327   960                    1       2
344   120                    1       1
346   40                     1       1
347   120                    1       3
348   160                    1       3
349   280                    1       4
350   80                     1       1
351   40                     1       1
352   80                     1       2
353   160                    1       3
355   80                     1       2
357   80                     1       2
359   80                     1       1
361   480                    1       6
362   160                    1       3
363   80                     1       2
364   40                     1       1
365   120                    1       2
366   3200                   1       10
378   120                    1       2
379   160                    1       2
380   120                    1       1
381   120                    1       1
382   160                    1       2
383   320                    1       3
384   120                    1       1
387   1160                   1       6
388   800                    1       8
389   640                    1       6
390   800                    1       3
391   800                    1       3
392   800                    1       3
393   800                    1       4
394   840                    1       4
396   680                    1       4
397   440                    1       5
398   440                    1       5
400   600                    1       5
401   640                    1       4
402   440                    1       3
403   600                    1       4
404   600                    1       3
406   560                    1       2
410   120                    1       1
416   200                    1       3
417   200                    1       2
420   2173274                1       3
428   4960                   1       72
429   4720                   1       81
430   800                    1       66
431   960                    1       44
432   160                    1       20
433   160                    1       13
434   1120                   1       60
436   1040                   1       60
437   45440                  1       112
438   16384                  1       40
440   73728                  1       59
441   8192                   1       20
442   16384                  1       38
443   188416                 1       50
444   8192                   1       20
445   16384                  1       40
446   49152                  1       40
447   24576                  1       40
448   49152                  1       79
450   65536                  1       21
451   8192                   1       20
452   32768                  1       40
453   8192                   1       20
454   65536                  1       60
455   8192                   1       20
458   3520                   1       80
459   1920                   1       96
468   4320                   1       100
469   5040                   1       39
470   800                    1       35
471   480                    1       22
474   160                    1       21
475   0                      1       45
