visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Task Duration(us): 287.500
Profile source instructions: 25948546
Selected source instructions: 18626132
Profile%  Selected%  Est(us)    Instructions Executed  Records  Lines       Function  Hot Lines
  11.13      15.50     31.987  2887022                17      1761-1825   turboquant_pack_kv_for_cache4bit     1817:2174074, 1790:673388, 1818:17220, 1808:12760, 1791:3200, 1788:2800, 1789:2060, 1774:860, 1784:180, 1796:80, 1798:80, 1801:80, 1803:80, 1805:80, 1797:40, 1800:40, 1785:0
   8.38      11.67     24.083  2173674                3       411-423     Process                              420:2173274, 416:200, 417:200
   8.37      11.66     24.069  2172388                29      1618-1708   ProcessCachePairBySequenceContiguousSegments 1686:2165210, 1634:2240, 1700:1040, 1637:600, 1661:440, 1642:280, 1699:280, 1670:210, 1671:210, 1646:200, 1626:160, 1676:126, 1678:126, 1696:126, 1619:120, 1652:120, 1653:120, 1665:120, 1672:84, 1675:84
   8.34      11.62     23.981  2164412                18      1546-1616   ProcessSequenceBlockRange            1583:2162606, 1554:588, 1580:378, 1593:294, 1590:168, 1577:126, 1589:126, 1553:84, 1588:42, 1555:0, 1556:0, 1559:0, 1560:0, 1573:0, 1574:0, 1581:0, 1596:0, 1597:0
   8.33      11.60     23.947  2161394                18      1359-1404   PackCachePairPhysicalFullGroupRun    1385:1104488, 1390:1050710, 1360:3076, 1362:640, 1378:480, 1363:400, 1377:400, 1388:400, 1381:240, 1365:160, 1386:160, 1394:80, 1395:80, 1400:80, 1366:0, 1367:0, 1370:0, 1373:0
   8.31      11.57     23.879  2155198                4       1334-1357   PackCachePhysicalFullGroupRunTask    1347:1776550, 1348:366408, 1340:11440, 1343:800
   6.89       9.60     19.805  1787510                18      830-867     CopyInPhysicalGroupRowsTask          865:994112, 863:703776, 864:78662, 838:4080, 859:3840, 841:960, 843:960, 839:640, 833:320, 844:160, 847:0, 848:0, 849:0, 850:0, 851:0, 852:0, 854:0, 858:0
   3.79       5.27     10.886  982512                 47      658-748     EncodeBatch                          675:450560, 673:98304, 667:53840, 669:52832, 688:49152, 729:41920, 676:40960, 732:32768, 733:24576, 670:16384, 690:16384, 691:16384, 731:16384, 674:8192, 681:8192, 682:8192, 687:8192, 689:8192, 694:8192, 734:8192
   2.69       3.75      7.743  698816                 26      429-462     NormalizeBatch                       443:188416, 440:73728, 450:65536, 454:65536, 446:49152, 448:49152, 437:45440, 452:32768, 447:24576, 438:16384, 442:16384, 445:16384, 441:8192, 444:8192, 451:8192, 453:8192, 455:8192, 429:4720, 458:3520, 459:1920
   1.41       1.96      4.041  364768                 12      611-653     EncodeQuantCodesByReduceSum          630:122880, 628:57344, 638:57344, 621:49152, 615:24576, 616:8192, 620:8192, 627:8192, 629:8192, 637:8192, 646:8192, 653:4320
